code,tm,signal_name,period,chg_pct_4,chg_pct_8,chg_pct_16,chg_pct_20,chg_pct_24
000651.XSHE,2018-01-26 14:00:00,Gold,60m,-0.0282279142708,-0.0529709008538,-0.0311901028054,-0.0331068130336,-0.0590695243074
600703.XSHG,2018-01-29 10:30:00,Death,60m,0.0182384341637,0.0155693950178,0.0235765124555,0.0124555160142,-0.0751779359431
000651.XSHE,2018-01-29 11:30:00,Death,60m,-0.0104977375566,0.0135746606335,-0.00995475113122,-0.0197285067873,-0.0407239819005
002028.XSHE,2018-01-29 14:00:00,Death,60m,0.0192837465565,0.0206611570248,0.0185950413223,0.0488980716253,0.0275482093664
002466.XSHE,2018-01-30 10:30:00,Gold,60m,0.00229051345677,-0.00515365527772,-0.0356938347013,-0.0484825348349,-0.05191830502
002028.XSHE,2018-01-30 15:00:00,Gold,60m,-0.0195154777927,-0.021534320323,0.0228802153432,-0.00134589502019,0.0195154777927
002236.XSHE,2018-01-31 10:30:00,Gold,60m,-0.0175238095238,0.00685714285714,-0.0312380952381,-0.04,-0.0529523809524
002415.XSHE,2018-02-01 10:30:00,Gold,60m,-0.0025354969574,-0.0116632860041,-0.0760649087221,-0.065415821501,-0.0661764705882
002028.XSHE,2018-02-01 10:30:00,Death,60m,-0.00135593220339,0.0250847457627,0.0162711864407,0.0338983050847,0.0271186440678
002236.XSHE,2018-02-01 11:30:00,Death,60m,0.00574712643678,0.0409961685824,-0.039846743295,-0.0406130268199,-0.0804597701149
601398.XSHG,2018-02-01 11:30:00,Gold,60m,-0.00414937759336,0.0207468879668,-0.0553250345781,-0.106500691563,-0.135546334716
002028.XSHE,2018-02-01 14:00:00,Gold,60m,-0.000675675675676,0.0290540540541,0.0148648648649,0.0358108108108,0.0418918918919
600703.XSHG,2018-02-02 10:30:00,BottomDivergence,60m,-0.0108648413733,-0.096479791395,-0.0569317687962,-0.0160799652325,0.0165145588874
600703.XSHG,2018-02-02 10:30:00,Gold,60m,-0.0108648413733,-0.096479791395,-0.0569317687962,-0.0160799652325,0.0165145588874
002236.XSHE,2018-02-02 10:30:00,Gold,60m,0.0249716231555,-0.0378357926599,-0.059402194476,-0.0843738176315,-0.0276201286417
002028.XSHE,2018-02-02 10:30:00,Death,60m,0.0264765784114,0.0291921249151,0.0353021045485,0.0285132382892,0.0624575695859
002466.XSHE,2018-02-02 14:00:00,Death,60m,-0.039253415432,-0.0519530498364,-0.00327111795267,0.0138541466231,0.115451221859
002028.XSHE,2018-02-05 11:30:00,Gold,60m,-0.00988793671721,-0.0204350692156,0.00263678312459,0.0441661173368,0.0408701384311
300187.XSHE,2018-02-05 11:30:00,Gold,60m,-0.0148367952522,-0.0296735905045,-0.0365974282888,-0.00890207715134,0.000989119683482
002415.XSHE,2018-02-05 14:00:00,Death,60m,-0.0607318972229,-0.0669608097586,-0.0420451596159,-0.00181676615624,0.00622891253569
600703.XSHG,2018-02-05 15:00:00,Death,60m,-0.0315691736305,0.00278551532033,0.0561745589601,0.0988857938719,0.0868152274838
002236.XSHE,2018-02-06 10:30:00,Death,60m,-0.00904443570586,-0.0224144710971,0.010617381046,0.0326386158081,0.0153362170665
601398.XSHG,2018-02-06 11:30:00,Death,60m,-0.0527045769764,-0.104022191401,-0.126213592233,-0.0984743411928,-0.0873786407767
300187.XSHE,2018-02-06 11:30:00,Death,60m,-0.0150602409639,0.00502008032129,0.00602409638554,0.0160642570281,0.0100401606426
300187.XSHE,2018-02-06 14:00:00,Gold,60m,0.00929752066116,0.0330578512397,0.0413223140496,0.0402892561983,0.0402892561983
300187.XSHE,2018-02-06 15:00:00,Death,60m,0.0121334681496,-0.00505561172902,0.0222446916077,0.0202224469161,0.0242669362993
002028.XSHE,2018-02-07 14:00:00,Death,60m,0.0206391478029,0.0266311584554,0.0752330226365,0.0725699067909,0.0619174434088
300187.XSHE,2018-02-07 15:00:00,Gold,60m,-0.016983016983,-0.002997002997,0.00799200799201,0.011988011988,0.023976023976
002466.XSHE,2018-02-08 10:30:00,Gold,60m,0.0311653116531,0.104916763453,0.123499806427,0.163956639566,0.116531165312
002028.XSHE,2018-02-08 10:30:00,Gold,60m,-0.00655737704918,0.0262295081967,0.0531147540984,0.0452459016393,0.0367213114754
600085.XSHG,2018-02-08 10:30:00,BottomDivergence,60m,-0.041150990099,-0.0133044554455,-0.0163985148515,0.00123762376238,0.00804455445545
600085.XSHG,2018-02-08 10:30:00,Gold,60m,-0.041150990099,-0.0133044554455,-0.0163985148515,0.00123762376238,0.00804455445545
600703.XSHG,2018-02-08 11:30:00,BottomDivergence,60m,0.0280717901519,0.0777726645191,0.0828347906121,0.111826967326,0.0961803957662
600703.XSHG,2018-02-08 11:30:00,Gold,60m,0.0280717901519,0.0777726645191,0.0828347906121,0.111826967326,0.0961803957662
002415.XSHE,2018-02-08 14:00:00,Gold,60m,-0.0291951604419,0.0115728563914,0.0249868490268,0.0512887953709,0.0647027880063
600085.XSHG,2018-02-09 10:30:00,Death,60m,0.0290416263311,0.0358180058083,0.0442078089706,0.0513068731849,0.0500161342369
002236.XSHE,2018-02-12 11:30:00,Gold,60m,0.0108949416342,0.00933852140078,0.0178988326848,0.124513618677,0.11906614786
600085.XSHG,2018-02-12 11:30:00,Gold,60m,0.000941619585687,-0.00125549278092,0.0194601381042,0.0241682360326,0.019146264909
000651.XSHE,2018-02-12 11:30:00,Gold,60m,0.0205905205905,0.0487567987568,0.0510878010878,0.0578865578866,0.0151515151515
601398.XSHG,2018-02-13 11:30:00,Gold,60m,0.0123076923077,0.0338461538462,0.0384615384615,-0.00153846153846,-0.00769230769231
002028.XSHE,2018-02-22 14:00:00,Death,60m,-0.00626959247649,-0.00626959247649,0.0382445141066,0.0489028213166,0.0764890282132
002466.XSHE,2018-02-23 10:30:00,Death,60m,0.0624133148405,0.0244452149792,0.108009708738,0.0863384188627,0.0674410540915
600703.XSHG,2018-02-23 14:00:00,Death,60m,0.0377675199329,0.0549727234578,0.0776332354175,0.0486781368023,0.05749055812
600703.XSHG,2018-02-26 10:30:00,Gold,60m,-0.00158353127474,0.0122723673793,-0.0134600158353,-0.0027711797308,0.0387965162312
